Category,Clue,Answer,General Subject,Specific Subject,Correct,Value,Level,Date
When In Ancient Rome,"As a patrician, you could not do this with a plebeian until 445 B.C.'s Lex Canuleia",Marry,Classics,Roman History,TRUE,200,1,01/19/2023
When In Ancient Rome,You could go to the July 23 festival of this sea god & hit his temple in the Circus Flaminius,Neptune,Classics,Roman Mythology,TRUE,400,2,01/19/2023
When In Ancient Rome,"The first stop when you went to these was the apodyterium & if you were rich enough, you brought a slave to watch your clothes",Baths,Classics,Roman History,FALSE,600,3,01/19/2023
When In Ancient Rome,Guess you couldn't be a gladiator judge if you were one of the Roman men who cut this off to avoid military service,Thumb,Classics,Roman History,TRUE,800,4,01/19/2023
When In Ancient Rome,"On Sept. 2, 44 B.C. you could take in the first of his 14 Philippic orations; he sure did love to orate, until it got him executed",Cicero,Classics,Roman History,FALSE,1000,5,01/19/2023
It's About Time,"Jainism views time as one of these, with 12 spokes corresponding to eras",Wheel,Religion,Jainism,TRUE,200,1,01/19/2023
It's About Time,"The Piraha people of the Amazon have limited conjugation of verbs, which as a result lack these time-indicating properties",Tense,Linguistics,Grammar,TRUE,400,2,01/19/2023
It's About Time,"""Time is a measure of motion and of being moved"", said this student of Plato",Aristotle,Philosophy,Greek,FALSE,600,3,01/19/2023
It's About Time,"In ""The Tempest"", Antonio says, ""What's past is"" this, also a word meaning preface",Prologue,Literature,Shakespeare,FALSE,800,4,01/19/2023
It's About Time,"This word follows ""space-time"" to describe the 4-dimensional universe suggested by relativity theory",Continuum,Science,Physics,TRUE,1000,5,01/19/2023
The Actor's Middle Initial,"Samuel Jackson, walkin' the Earth",L,Film,Actors,TRUE,200,1,01/19/2023
The Actor's Middle Initial,The versatile Sterling Brown,K,Film,Actors,FALSE,400,2,01/19/2023
The Actor's Middle Initial,"Edward Robinson, ya mugs",G,Film,Actors,FALSE,600,3,01/19/2023
The Actor's Middle Initial,"Mr. Angela Bassett, Courtney Vance",B,Film,Actors,FALSE,800,4,01/19/2023
The Actor's Middle Initial,"Daniel Travanti, singin' the ""Hill Street Blues""",J,Film,Actors,FALSE,1000,5,01/19/2023
"Ends in ""Ion""","A gut feeling regarding one's child is commonly referred to as maternal instinct or ""mother's"" this",Intuition,Linguistics,Vocabulary,TRUE,200,1,01/19/2023
"Ends in ""Ion""",Place where you'd hear the following,Auction,Linguistics,Vocabulary,TRUE,400,2,01/19/2023
"Ends in ""Ion""",Some people just refer to it as a green onion,Scallion,Linguistics,Vocabulary,TRUE,600,3,01/19/2023
"Ends in ""Ion""",This type of therapy may help those suffering from back pain & even kidney stones,Inversion,Linguistics,Vocabulary,FALSE,800,4,01/19/2023
"Ends in ""Ion""","Zymology is the scientific study of this process, as in winemaking",Fermentation,Linguistics,Vocabulary,TRUE,1000,5,01/19/2023
Learning,"khanacademy.org offers courses in the ""linear"" type of this, including topics like vectors & matrix transformations",Algebra,Science,Mathematics,TRUE,200,1,01/19/2023
Learning,"""The Chicago Manual of Style"" is online to help you format footnotes & these, from the Greek for ""book writing""",Bibliography,Linguistics,Greek Etymology,FALSE,400,2,01/19/2023
Learning,"This job-finding & networking website, ""the world's largest professional network"", provides new skills via its learning section",LinkedIn,Business,Websites,TRUE,600,3,01/19/2023
Learning,"This author's MasterClass sessions offer a case study of his novel ""The Graveyard Book""",Neil Gaiman,Literature,British Authors,FALSE,800,4,01/19/2023
Learning,"Want to learn French? Maybe try this, named for a rock found in Egypt in 1799",Rosetta Stone,Business,Websites,TRUE,1000,5,01/19/2023
The Ropes,Scout's honor--bowline & clove hitch are 2 types of these,Knots,General Knowledge,Outdoors,TRUE,200,1,01/19/2023
The Ropes,Each December the Apollo Theater holds a holiday classic contest for this type of jump roping,Double Dutch,General Knowledge,Games,FALSE,400,2,01/19/2023
The Ropes,Mountain climbing ropes are often made of this synthetic material invented by DuPont in the 1930s,Nylon,Science,Chemistry,TRUE,600,3,01/19/2023
The Ropes,"One of the 6 simple machines, it can use downward force on the rope, not a spinning crank, to hoist a load",Pulley,Science,Physics,TRUE,800,4,01/19/2023
The Ropes,hese strong ropes seen here give support to the mast; it's also an old word for another supporter--a corset,Stays,Fashion,Old Fashion,FALSE,1000,5,01/19/2023
The Series' Author,"The ""Twilight"" saga",Stephenie Meyer,Literature,Authors,FALSE,400,1,01/19/2023
The Series' Author,"The first 5 books of ""The Hitchhiker's Guide to the Galaxy""",Douglas Adams,Literature,Authors,FALSE,800,2,01/19/2023
The Series' Author,"The ""Fifty Shades"" trilogy",E. L. James,Literature,Authors,FALSE,1200,3,01/19/2023
The Series' Author,"The Southern Vampire Mysteries, featuring Sookie Stackhouse",Charlaine Harris,Literature,Authors,FALSE,1600,4,01/19/2023
The Series' Author,"The ""Outlander"" series",Gabaldon,Literature,Authors,FALSE,2000,5,01/19/2023
State Capitals,Helena is the seat of Lewis & Clark County as well as the capital of this state,Montana,Geography,State Capitals,TRUE,400,1,01/19/2023
State Capitals,This Iowa capital began as a fort in 1843 & the Women's Army Corps began there a century later,Des Moines,Geography,State Capitals,TRUE,800,2,01/19/2023
State Capitals,"This city of 200,000 stands near where the Coosa & Tallapoosa Rivers merge to form the Alabama River",Montgomery,Geography,State Capitals,TRUE,1200,3,01/19/2023
State Capitals,The Milton S. Hershey Medical Center serves residents of this capital that hosted the 1st Whig Party convention in 1839,Harrisburg,Geography,State Capitals,FALSE,1600,4,01/19/2023
State Capitals,The Kennebec Valley Chamber of Commerce is found in this New England state capital,Augusta,Geography,State Capitals,FALSE,2000,5,01/19/2023
Eat Your Veggies,Les epinards is French for this vegetable,Spinach,Linguistics,French,FALSE,400,1,01/19/2023
Eat Your Veggies,pruce up a salad with slices of the watermelon type of this,Radish,General Knowledge,Cooking,TRUE,800,2,01/19/2023
Eat Your Veggies,"Not surprisingly, Georgia's state vegetable is this sweet yellow onion that first took root in Georgia some 90 years ago",Vidalia,Geography,State Trivia,FALSE,1200,3,01/19/2023
Eat Your Veggies,This variety of squash seen here has a body part in its name,Crookneck,General Knowledge,Cooking,FALSE,1600,4,01/19/2023
Eat Your Veggies,These root veggies that look like creamy white carrots are in the same family & are often roasted or boiled & mashed,Parsnips,General Knowledge,Cooking,FALSE,2000,5,01/19/2023
All In The Family,This aviation pioneer outlived his brother Wilbur by more than 35 years,Orville Wright,History,Aviation,FALSE,400,1,01/19/2023
All In The Family,"""Good Brother, Bad Brother"" is a dual biography of this assassin & his actor/brother Edwin",John Wilkes Booth,History,Civil War,FALSE,800,2,01/19/2023
All In The Family,"The daughter of Boston Mayor John ""Honey Fitz"" Fitzgerald, she became the matriarch of a political dynasty",Rose Kennedy,History,American Politics,FALSE,1200,3,01/19/2023
All In The Family,Last name of the first prime minister of India; a child & grandchild also held the job,Nehru,History,Indian Politics,FALSE,1600,4,01/19/2023
All In The Family,"Following their birth in 1934, these Canadian quintuplets became a media sensation",Dionne,History,Canadian History,FALSE,2000,5,01/19/2023
Self-Referential Beatles,"John's ""How Do You Sleep?"" told us ""The only thing you done was"" this song where Paul's troubles seemed so far away",Yesterday,Music,The Beatles,TRUE,400,1,01/19/2023
Self-Referential Beatles,"""See how they fly like Lucy in the sky, see how they run"" in this song, goo goo g'joob",I Am the Walrus,Music,The Beatles,TRUE,800,2,01/19/2023
Self-Referential Beatles,"""There's nothing you can know that isn't known"", like adding ""She loves you, yeah, yeah, yeah"" to the end of this song",All You Need Is Love,Music,The Beatles,FALSE,1200,3,01/19/2023
Self-Referential Beatles,"""Glass Onion"" begins, ""I told you about"" this title spot, ""you know the place where nothing is real""",Strawberry Fields,Music,The Beatles,FALSE,1600,4,01/19/2023
Self-Referential Beatles,"""I'm The Greatest"" had Ringo sing, ""Yes, my name is"" him, ""the one and only"" singer in Sgt. Pepper's band",Billy Shears,Music,The Beatles,FALSE,2000,5,01/19/2023
Acronyms,"You may recall it's the ""M"" in ROM, as in CD-ROM",Memory,Technology,Computer Science,TRUE,400,1,01/19/2023
Acronyms,This weapon that delivers an electric shock is an acronym made from the name of fictional character Tom Swift,TASER,Technology,Weapons,TRUE,800,2,01/19/2023
Acronyms,"When setting goals, be SMART--the S stands for this, so not vague & genera",Specific,General Knowledge,General Knowledge,FALSE,1200,3,01/19/2023
Acronyms,NAIRU is the lowest possible rate of this in an economy before it starts to lead to inflation,NAIRU,Science,Economics,FALSE,1600,4,01/19/2023
Acronyms,"Pronounced like a word for a small boat, it's a room where intelligence material can be read without a security risk",SCIF,Politics,Espionage,FALSE,2000,5,01/19/2023
British Landmarks,"Like Sir Thomas More, 3 16th century English queens are buried at this location",Tower of London,Geography,Landmarks,FALSE,0,6,01/19/2023
The 1890s,In 1891 the ancient order of Hibernians marched up Fifth Avenue for the first time in their parade celebrating this holiday,St. Patrick's Day,Religion,Catholic Saints,FALSE,200,1,01/18/2023
